iter	Passed	Remaining
938	7721	501
939	7730	493
940	7738	485
941	7746	476
942	7754	468
943	7762	460
944	7770	452
945	7778	443
946	7787	435
947	7796	427
948	7805	419
949	7814	411
950	7822	403
951	7831	394
952	7840	386
953	7848	378
954	7866	370
955	7875	362
956	7884	354
957	7892	346
958	7901	337
959	7910	329
960	7918	321
961	7926	313
962	7935	304
963	7943	296
964	7951	288
965	7960	280
966	7968	271
967	7977	263
968	7985	255
969	7993	247
970	8001	238
971	8009	230
972	8018	222
973	8026	214
974	8034	206
975	8042	197
976	8050	189
977	8059	181
978	8068	173
979	8076	164
980	8085	156
981	8094	148
982	8102	140
983	8111	131
984	8120	123
985	8128	115
986	8136	107
987	8143	98
988	8152	90
989	8159	82
990	8167	74
991	8175	65
992	8183	57
993	8191	49
994	8199	41
995	8207	32
996	8215	24
997	8224	16
998	8231	8
999	8239	0
